"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2018.264",15.1092013803351,14.6735899363484,15.5448128243218,14.442991167323,15.7754115933472
"2018.283",15.063009568402,14.0889527678709,16.0370663689331,13.5733182448024,16.5527008920016
"2018.302",15.0170795591721,13.387170782016,16.6469883363281,12.5243491945112,17.5098099238329
"2018.321",14.9722863265747,12.5863441847856,17.3582284683639,11.3233027095044,18.621269943645
"2018.340",14.9198847643667,11.689303832511,18.1504656962224,9.97913759053898,19.8606319381945
"2018.359",14.8813273350657,10.7258590050182,19.0367956651132,8.52608694930026,21.2365677208311
"2018.379",14.8365343743295,9.68231026021645,19.9907584884426,6.95382882933918,22.7192399193198
"2018.398",14.7937512611274,8.57197536135702,21.0155271608978,5.27836615194753,24.3091363703073
